ACCION;BIEN;ESPACIO;CATEGORIZACION DEL BIEN ;CATEGORIZACION DEL  ESPACIO;TIPO DE ACCION;METODOLOGIA // VERIFICAR;FRECUENCIA S/PLIEGO;FRECUENCIA REQUERIDA;DURACION ESTIMADA;QTY. RECURSOS
Limpieza;Artefactos de Iluminacion;;Otros artefactos de iluminacion;;Profunda;Quitado de roces de manos, manchas con trapo humedo y sustancia quimica no abrasiva;semanal;;;
Limpieza;;Areas de Servicio;;Sanitarios;Basica;Limpieza a fondo con agua y jabon, detergente, secado, agregado de producto desodorizane y perfumante con desifectante;diaria;;;
Limpieza;;Areas de Servicio;;Artefactos sanitarios;Basica;Limpieza a fondo con agua y jabon, detergente, secado, agregado de producto desodorizane y perfumante con desifectante;diaria;;;
Limpieza;;Areas de Servicio, cocinas;;Pileta y mesadas;Basica;Limpieza a fondo con agua y jabon, detergente, secado, agregado de producto desodorizane y perfumante con desifectante;diaria;;;
Limpieza;;Areas de Servicio;;Paredes azulejadas;Basica;Limpieza a fondo con agua y jabon, detergente, secado, agregado de producto desodorizane y perfumante con desifectante;diaria;;;
Limpieza;;Areas de Servicio;;Paredes azulejadas;Profunda;Eliminacion de manchas de oxido y limpieza profunda;semanal;;;
Limpieza;;Areas de Servicio;;Heladera;Basica;Lavado no abrasivo;diaria;;;
Limpieza;;Areas de Servicio;;Anafes cocinas y honos;Basica;Limpiador desengrasante;diaria, a demanda;;;
Limpieza;;Areas de Servicios;;Vestuarios y camarines;Basica;Limpios y desodorizados;permanente;;;
Limpieza;;Areas de Servicios;;Pisos;Basica;Limpieza a fondo con agua y jabon, detergente, secado, agregado de producto desodorizane y perfumante con desifectante;diaria;;;
Limpieza;;Terrazas;;;Basica;Barrido y lavado general, libre de residuos;diaria, a demanda;;;
Limpieza;;Terrazas;;;Profunda;Lavado con agua y detergente o productos similares;semanal, a demanda;;;
Limpieza;;Garages y Estacionamientos;;;Basica;Retriar todo tipo de residuos, limpieza de acristalado y desempolvado de caseta, barreras y otros objetos;diaria;;;
Limpieza;;Garages y Estacionamientos;;;Profunda;Hidrolavado, desengrasado, enjuague, limpieza de derrames;semanal;;;
Limpieza;;Salas de Maquinas y de Server;;Sala de maquina de ascensores;Basica;Presentar cronograma de mensual a CTO, barrido, trapeado, eliminacion de telas de araña;semanal;;;
Limpieza;;Salas de Maquinas y de Server;;Sala de aire acondicionado;Basica;Presentar cronograma de mensual a CTO, barrido, trapeado, eliminacion de telas de araña;semanal;;;
Limpieza;;Salas de Maquinas y de Server;;Sala de bombas;Basica;Presentar cronograma de mensual a CTO, barrido, trapeado, eliminacion de telas de araña;semanal;;;
Limpieza;;Salas de Maquinas y de Server;;Sala de grupos electrogenos;Basica;Presentar cronograma de mensual a CTO, barrido, trapeado, eliminacion de telas de araña;semanal;;;
Limpieza;;Pañol;;;Basica;Barrido, trapeado;diaria;;;
Limpieza;Ascensores;;;;Basica;Barrido, aspirado, repasado de toda la cabina sin interrupcion del normal funcionamiento;diaria;;;
